"Gemeenten";"Aardgasverbruik Gebouwde omgeving|2017";"Aardgasverbruik Gebouwde omgeving|2018";"Aardgasverbruik Gebouwde omgeving|2019";"Aardgasverbruik Gebouwde omgeving|2020";"Aardgasverbruik Gebouwde omgeving|2021"
"Goeree-Overflakkee";41;43;41;40;40
"Goes";33;34;34;31;32
"Goirle";17;17;17;17;17
"Gooise Meren";58;56;55;52;54
"Gorinchem";27;27;26;26;26
"Gouda";50;50;49;48;49
"Groningen";215;211;203;200;204
"Gulpen-Wittem";"?";"?";"?";"?";"?"
"Haaksbergen";21;21;20;19;20
"Haarlem";129;128;125;119;"?"
"Haarlemmermeer";134;"?";140;130;136
"Halderberge";25;"?";25;24;24
"Hardenberg";56;56;53;"?";54
"Harderwijk";40;39;"?";"?";"?"
"Hardinxveld-Giessendam";11;"?";"?";11;11
"Harlingen";14;15;13;13;13
"Hattem";"?";"?";"?";11;10
"Heemskerk";26;26;25;25;25
"Heemstede";"?";26;"?";"?";"?"
"Heerde";17;17;16;"?";15
"Heerenveen";53;"?";52;45;45
"Heerlen";"?";80;78;76;"?"
"Heeze-Leende";15;15;"?";"?";"?"
"Heiloo";19;19;19;18;19
"Hellendoorn";30;30;29;28;28
"Helmond";59;"?";61;59;"?"
"Hendrik-Ido-Ambacht";17;17;17;17;17
"Hengelo";73;71;68;67;68
"Het Hogeland";50;49;46;"?";"?"
"Heumen";14;"?";13;"?";13
"Heusden";34;33;33;32;32
"Hillegom";16;16;16;15;15
"Hilvarenbeek";14;14;13;13;"?"
"Hilversum";87;85;86;80;82
"Hoeksche Waard";62;"?";"?";59;60
"Hof van Twente";32;33;30;30;32
"Hollands Kroon";37;"?";36;36;36
"Hoogeveen";50;50;48;47;48
"Hoorn";53;53;51;51;52
"Horst aan de Maas";41;41;40;38;39
"Houten";26;"?";26;"?";"?"
"Huizen";"?";"?";"?";30;31
"Hulst";"?";24;"?";22;23
"IJsselstein";21;21;21;20;"?"
"Kaag en Braassem";"?";19;19;18;19
"Kampen";40;39;"?";37;38
"Kapelle";9;9;9;9;9
"Katwijk";43;43;42;40;40
"Kerkrade";45;42;"?";39;40
"Koggenland";16;16;16;16;16
"Krimpen aan den IJssel";"?";"?";"?";"?";"?"
"Krimpenerwaard";42;41;40;40;40
"Laarbeek";18;17;17;16;17
"Land van Cuijk";75;76;74;72;"?"
"Landgraaf";"?";"?";"?";"?";30
"Landsmeer";9;9;"?";"?";"?"
"Lansingerland";38;38;39;37;39
"Laren";"?";"?";15;14;15
"Leeuwarden";110;114;108;107;108
"Leiden";82;"?";78;"?";77
"Leiderdorp";19;19;19;"?";18
"Leidschendam-Voorburg";56;55;55;"?";53
"Lelystad";"?";"?";53;48;"?"
"Leudal";36;34;34;"?";33
