"Gemeenten";"Zonnestroom|2010";"Zonnestroom|2011";"Zonnestroom|2012";"Zonnestroom|2013";"Zonnestroom|2014";"Zonnestroom|2015";"Zonnestroom|2016";"Zonnestroom|2017";"Zonnestroom|2018";"Zonnestroom|2019";"Zonnestroom|2020";"Zonnestroom|2021";"Zonnestroom|2022"
"Gouda";1;1;1;2;4;7;10;13;24;35;58;69;101
"Groningen";2;3;6;14;24;37;56;101;169;192;288;408;558
"Gulpen-Wittem";0;0;2;4;5;7;8;9;14;17;26;30;41
"Haaksbergen";0;1;2;4;8;11;15;18;23;25;40;52;88
"Haarlem";1;2;3;5;10;14;21;29;44;57;88;107;157
"Haarlemmermeer";1;2;8;17;25;37;55;78;180;270;367;421;569
"Halderberge";0;1;1;3;5;9;12;15;25;39;61;106;166
"Hardenberg";1;3;7;15;24;36;52;66;91;114;193;271;425
"Harderwijk";1;1;1;2;7;11;13;19;31;43;68;81;129
"Hardinxveld-Giessendam";0;0;0;1;2;3;4;5;10;17;27;34;53
"Harlingen";1;1;1;2;4;6;7;12;28;38;51;63;78
"Hattem";0;0;0;1;2;3;4;5;7;9;13;15;25
"Heemskerk";0;0;1;2;3;5;8;11;19;28;43;51;73
"Heemstede";0;0;0;1;2;3;4;6;10;14;22;26;38
"Heerde";0;0;1;2;3;5;6;9;14;16;23;35;54
"Heerenveen";1;2;3;6;12;20;29;38;64;86;158;236;317
"Heerlen";0;1;2;5;9;14;20;30;57;81;118;145;196
"Heeze-Leende";0;0;1;2;4;6;9;12;17;26;41;58;91
"Heiloo";0;0;1;2;3;5;6;9;15;22;35;45;62
"Hellendoorn";1;1;3;6;10;15;20;25;34;41;70;90;137
"Helmond";0;0;1;3;7;11;15;20;30;64;110;144;213
"Hendrik-Ido-Ambacht";0;0;0;1;2;3;4;6;10;13;21;29;47
"Hengelo";0;0;1;5;9;15;23;34;52;62;98;129;208
"Het Hogeland";1;1;3;7;14;33;54;65;88;100;162;267;397
"Heumen";0;1;1;2;3;5;6;8;12;18;30;38;53
"Heusden";0;1;2;4;7;10;14;18;33;50;85;123;185
"Hillegom";0;1;1;1;2;4;6;8;16;25;37;45;62
"Hilvarenbeek";0;0;1;2;4;6;8;12;20;29;46;73;113
"Hilversum";0;1;1;2;3;6;9;13;24;35;48;63;92
"Hoeksche Waard";1;2;4;8;15;21;27;33;50;79;140;187;353
"Hof van Twente";0;2;4;7;12;20;30;38;52;61;117;188;302
"Hollands Kroon";2;3;7;14;23;37;55;72;118;169;272;293;472
"Hoogeveen";0;1;2;5;10;15;23;38;59;76;164;298;538
"Hoorn";0;1;2;5;9;12;18;24;33;52;74;89;130
"Horst aan de Maas";1;3;5;9;14;21;33;44;74;106;159;218;338
"Houten";1;2;5;8;12;16;22;27;39;51;97;161;247
"Huizen";0;0;1;2;4;6;8;11;20;29;38;49;68
"Hulst";0;1;1;3;6;10;16;23;30;44;59;70;111
"IJsselstein";0;0;1;2;3;5;6;9;15;22;32;40;63
"Kaag en Braassem";0;1;1;3;6;9;12;14;23;32;49;61;90
"Kampen";0;1;3;7;13;18;26;42;76;93;124;170;246
"Kapelle";0;0;1;2;5;9;12;14;19;31;42;46;63
"Katwijk";0;0;1;2;4;5;6;11;26;42;66;78;111
"Kerkrade";0;0;1;4;6;8;12;21;40;50;71;115;178
"Koggenland";0;1;1;4;8;10;13;17;23;35;50;68;103
"Krimpen aan den IJssel";0;0;0;1;2;4;6;7;10;13;19;27;43
"Krimpenerwaard";1;1;2;4;8;12;16;18;26;38;75;99;152
"Laarbeek";0;1;1;3;6;8;10;13;19;31;54;76;135
"Land van Cuijk";2;4;7;14;24;33;44;60;110;157;248;330;478
"Landgraaf";0;0;1;3;5;10;16;23;43;56;68;96;146
"Landsmeer";0;0;0;0;1;1;2;3;5;10;14;16;22
"Lansingerland";1;1;3;6;11;19;27;34;60;89;136;202;333
"Laren";0;0;0;0;1;1;1;2;3;3;4;6;9
"Leeuwarden";4;6;8;15;24;35;50;70;128;173;285;392;490
"Leiden";1;1;2;3;6;9;13;17;28;37;59;76;109
"Leiderdorp";0;0;0;1;2;3;5;8;12;15;21;26;37
"Leidschendam-Voorburg";1;1;1;2;4;6;8;12;19;24;32;40;62
"Lelystad";2;3;4;8;15;23;34;46;74;149;331;418;578
"Leudal";0;1;4;9;15;23;36;46;66;83;116;149;217
"Leusden";0;1;1;3;6;8;11;13;31;49;61;62;100
"Lingewaard";0;0;1;4;7;11;15;20;36;71;131;157;218
"Lisse";0;0;0;1;2;4;5;8;13;17;25;32;52
"Lochem";1;1;2;5;8;13;18;22;35;44;75;148;297
"Loon op Zand";0;0;1;2;3;4;6;7;13;19;28;38;67
"Lopik";0;0;1;2;3;5;6;8;14;21;33;43;62
"Losser";0;1;2;3;5;10;14;17;23;27;45;98;183
"Maasdriel";0;0;1;2;4;8;14;20;34;41;65;78;117
"Maasgouw";0;1;2;3;5;8;11;16;25;33;46;57;84
"Maashorst";0;1;3;7;13;18;25;34;83;132;198;237;313
"Maassluis";0;0;0;1;2;2;3;4;8;11;18;25;39
"Maastricht";1;2;6;10;13;18;24;33;54;74;135;179;241
"Medemblik";0;1;2;4;9;17;26;37;77;137;185;251;354
"Meerssen";0;0;1;2;4;6;9;12;19;24;34;41;57
"Meierijstad";1;4;8;12;19;29;44;67;119;176;293;379;529
"Meppel";0;1;2;3;6;10;14;18;26;36;51;66;82
"Middelburg";0;0;1;4;7;12;16;22;54;101;125;122;162
"Midden-Delfland";0;0;1;2;5;7;10;13;20;23;32;47;81
"Midden-Drenthe";1;2;3;7;13;21;30;39;53;71;109;200;283
"Midden-Groningen";1;2;3;8;15;29;46;59;80;235;583;831;1014
"Moerdijk";0;0;1;4;9;16;21;32;50;123;209;263;356
"Molenlanden";1;1;2;5;13;19;22;28;42;51;80;115;172
"Montferland";1;2;5;11;15;20;24;32;50;63;99;122;169
"Montfoort";0;1;1;2;3;4;6;9;14;24;42;54;75
"Mook en Middelaar";0;0;0;1;2;2;3;5;8;10;13;17;25
"Neder-Betuwe";0;0;0;1;3;7;11;16;29;37;62;77;163
"Nederweert";0;1;2;5;9;19;31;37;51;67;102;128;165
"Nieuwegein";0;0;1;2;4;6;9;14;35;64;115;150;205
"Nieuwkoop";0;0;1;3;5;8;10;13;20;28;48;63;90
"Nijkerk";1;1;2;3;7;12;17;23;45;65;96;118;170
"Nijmegen";2;3;4;8;14;24;35;48;75;99;162;202;285
"Nissewaard";2;2;2;4;7;11;14;19;30;40;59;81;130
"Noardeast-Fryslân";2;4;5;8;12;17;23;29;45;63;107;146;197
"Noord-Beveland";0;1;1;2;4;7;10;12;16;24;36;37;51
"Noordenveld";0;1;2;5;9;13;17;23;33;44;63;89;201
"Noordoostpolder";2;4;7;13;23;46;74;121;204;256;385;433;499
"Noordwijk";0;0;1;2;5;7;10;14;24;39;63;77;113
"Nuenen, Gerwen en Nederwetten";0;0;1;3;6;7;9;11;16;24;41;56;80
"Nunspeet";0;0;1;2;3;5;6;9;14;20;33;44;72
"Oegstgeest";0;0;1;1;2;3;5;6;9;13;21;31;49
"Oirschot";0;0;1;3;5;7;9;12;18;33;66;92;124
"Oisterwijk";0;0;1;3;6;9;11;14;23;36;56;81;122
"Oldambt";0;1;2;4;6;10;14;29;52;55;88;135;190
"Oldebroek";0;0;1;2;5;7;10;13;20;29;51;66;98
"Oldenzaal";0;0;0;2;5;9;12;16;28;36;72;96;137
"Olst-Wijhe";1;2;3;6;9;13;16;20;29;32;42;53;99
"Ommen";0;1;3;6;9;12;16;20;31;39;59;80;107
"Oost Gelre";1;1;2;7;12;16;21;27;42;53;80;98;141
"Oosterhout";0;1;1;3;7;10;13;18;28;53;90;127;183
"Ooststellingwerf";1;1;2;3;6;10;15;21;86;145;244;340;402
"Oostzaan";0;0;0;0;1;2;2;3;5;9;15;18;26
"Opmeer";0;0;1;2;4;6;10;13;17;21;29;36;51
"Opsterland";1;2;3;5;9;12;16;21;34;48;72;114;198
"Oss";0;1;3;7;11;17;26;41;76;114;192;256;378
"Oude IJsselstreek";1;2;3;6;12;17;23;28;44;61;103;128;177
"Ouder-Amstel";0;0;0;1;2;2;3;5;7;11;16;20;28
"Oudewater";0;0;0;1;2;3;4;6;9;12;19;23;35
"Overbetuwe";1;1;2;6;10;13;18;25;37;49;97;136;200
"Papendrecht";0;0;0;2;4;5;6;8;13;16;24;32;48
"Peel en Maas";0;3;6;10;15;21;28;38;59;98;182;248;352
"Pekela";0;0;0;1;2;3;4;6;9;14;35;57;87
"Pijnacker-Nootdorp";1;1;2;5;8;12;16;22;40;60;88;109;157
"Purmerend";0;1;2;4;8;10;24;38;53;67;94;113;169
"Putten";1;1;1;3;5;7;9;13;20;26;46;60;99
"Raalte";1;3;5;9;15;26;38;46;73;89;118;149;216
"Reimerswaal";0;0;1;2;5;10;15;20;30;92;163;156;196
"Renkum";0;1;1;2;4;6;9;12;19;23;33;40;58
"Renswoude";0;0;0;0;1;2;2;3;6;10;17;22;31
"Reusel-De Mierden";1;1;2;4;7;8;10;12;18;38;71;92;119
"Rheden";0;1;1;3;5;7;9;12;21;30;44;59;92
"Rhenen";0;0;1;1;2;3;4;6;10;20;32;38;57
"Ridderkerk";0;0;1;1;3;5;8;12;21;31;45;64;111
"Rijssen-Holten";0;1;2;5;9;13;17;21;30;42;105;151;217
"Rijswijk";0;1;1;2;3;5;9;13;22;26;33;38;58
"Roerdalen";0;1;2;3;5;7;10;14;22;32;47;60;84
"Roermond";1;1;2;5;8;13;20;28;44;57;91;125;179
"Roosendaal";1;1;2;5;10;18;25;32;47;72;111;235;392
"Rotterdam";2;4;6;10;20;30;41;57;99;141;228;300;543
"Rozendaal";0;0;0;0;0;0;0;1;1;2;4;5;7
"Rucphen";0;0;1;2;4;5;6;8;14;22;33;44;64
"Schagen";1;2;3;8;13;19;27;37;59;92;172;216;311
"Scherpenzeel";0;0;0;0;1;2;4;5;7;9;14;21;34
"Schiedam";0;0;1;1;3;4;6;7;12;19;31;43;67
"Schiermonnikoog";0;0;0;0;0;0;0;1;2;4;6;7;9
"Schouwen-Duiveland";0;1;2;5;10;15;23;32;44;92;147;144;192
"'s-Hertogenbosch";1;1;3;9;18;24;32;44;75;122;206;280;425
"Simpelveld";0;0;1;1;2;3;4;6;11;13;17;20;27
"Sint-Michielsgestel";0;1;2;4;7;10;13;17;26;35;55;71;106
"Sittard-Geleen";1;1;4;9;14;20;28;41;66;96;162;208;298
"Sliedrecht";0;0;0;1;3;5;7;11;17;21;34;42;54
"Sluis";0;0;1;4;7;11;15;19;26;37;55;64;94
"Smallingerland";1;2;2;5;10;14;20;28;45;65;106;151;213
"Soest";0;0;1;4;6;9;13;16;26;38;57;65;106
"Someren";0;1;1;3;6;13;21;27;37;62;97;153;235
"Son en Breugel";0;0;1;1;2;3;4;12;26;51;76;87;115
"Stadskanaal";0;0;1;4;6;11;16;20;64;88;256;439;555
"Staphorst";0;0;1;3;5;8;12;15;25;34;46;53;70
"Stede Broec";0;0;1;2;4;7;10;14;18;27;38;50;70
"Steenbergen";0;0;1;4;7;10;12;15;24;37;58;81;114
"Steenwijkerland";1;3;6;10;14;18;23;28;42;52;79;104;144
"Stein";0;0;1;3;5;8;13;17;29;41;57;63;86
"Stichtse Vecht";0;1;1;4;7;10;14;18;27;37;55;72;116
"Súdwest-Fryslân";4;6;9;19;30;41;55;71;109;137;188;246;348
"Terneuzen";1;1;2;5;10;15;20;28;46;84;126;187;422
"Terschelling";0;0;0;1;2;3;4;5;9;10;11;13;18
"Texel";1;1;3;4;6;7;9;12;19;26;41;45;60
"Teylingen";0;0;1;2;4;7;11;16;29;42;64;78;111
"Tholen";0;1;1;3;6;10;13;18;25;41;108;143;181
"Tiel";0;0;1;2;4;7;15;22;34;38;59;78;131
"Tilburg";1;2;5;13;28;45;60;86;143;210;313;416;667
"Tubbergen";1;2;3;5;8;11;14;16;23;29;52;71;116
"Twenterand";0;0;1;4;8;13;17;20;30;56;113;145;209
"Tynaarlo";0;1;3;6;11;14;19;25;35;100;182;227;270
"Tytsjerksteradiel";1;2;3;5;8;12;16;21;53;80;103;125;159
"Uitgeest";0;0;0;1;2;3;4;5;8;12;17;24;38
"Uithoorn";0;1;1;2;3;5;7;9;16;27;47;63;90
"Urk";0;0;0;1;2;4;7;9;15;22;31;35;48
"Utrecht";3;4;6;14;26;38;54;80;136;202;294;358;517
"Utrechtse Heuvelrug";1;2;3;6;9;12;16;20;30;39;59;76;115
"Vaals";0;0;0;1;1;2;3;4;7;8;11;13;17
"Valkenburg aan de Geul";0;1;1;2;4;5;7;10;15;17;24;30;43
"Valkenswaard";0;0;1;2;4;5;7;9;14;27;53;76;109
"Veendam";0;1;1;3;5;8;35;63;76;79;109;144;201
"Veenendaal";4;4;5;7;10;13;15;19;31;50;73;102;157
"Veere";1;1;2;5;10;15;20;27;35;50;72;79;106
"Veldhoven";1;1;2;4;6;9;12;16;26;49;77;102;152
"Velsen";0;1;1;3;5;8;14;20;29;41;60;69;106
"Venlo";1;3;5;9;14;33;58;75;117;157;279;412;630
"Venray";1;2;4;8;12;21;35;49;74;103;179;257;364
"Vijfheerenlanden";1;1;1;3;7;10;16;29;51;71;102;127;194
"Vlaardingen";0;1;1;2;3;5;7;9;15;21;35;45;67
"Vlieland";0;0;0;0;0;1;1;1;3;5;6;7;9
"Vlissingen";0;1;1;3;6;11;16;23;32;52;120;149;224
"Voerendaal";0;0;1;2;3;4;5;8;14;18;23;25;36
"Voorne aan Zee";1;1;2;4;8;14;19;24;37;53;81;104;163
"Voorschoten";0;0;1;1;2;3;4;5;7;10;16;21;34
"Voorst";0;0;1;3;5;8;10;13;23;29;114;245;338
"Vught";0;1;1;2;4;5;7;9;16;22;38;50;71
"Waadhoeke";2;3;4;8;13;19;28;40;79;114;147;173;223
"Waalre";0;0;1;1;2;3;4;6;10;17;29;37;53
"Waalwijk";0;1;1;4;7;9;14;22;36;56;105;159;245
"Waddinxveen";1;1;1;2;3;4;7;11;18;30;58;75;107
"Wageningen";0;1;1;3;6;11;15;19;29;34;46;65;103
"Wassenaar";0;0;0;1;2;2;3;5;7;9;14;19;32
"Waterland";0;0;1;2;3;4;5;6;10;13;18;22;30
"Weert";1;1;2;6;10;17;26;36;62;90;129;179;269
"West Betuwe";0;1;2;6;11;15;24;35;81;117;178;212;315
"West Maas en Waal";0;0;1;2;4;7;10;16;31;46;80;94;133
"Westerkwartier";1;3;6;11;20;30;42;52;89;127;187;284;422
"Westerveld";0;1;2;4;8;12;16;21;31;40;52;63;76
"Westervoort";0;0;0;0;1;2;2;3;6;9;15;20;29
"Westerwolde";0;1;2;5;9;12;15;17;23;26;206;431;531
"Westland";1;1;3;9;18;27;43;64;109;154;212;245;362
"Weststellingwerf";0;1;2;4;8;12;22;32;59;78;98;129;183
"Wierden";1;1;2;4;7;11;15;18;34;47;74;93;139
"Wijchen";1;1;1;3;6;10;13;19;33;44;71;100;176
"Wijdemeren";0;0;1;2;3;4;5;7;14;23;45;67;84
"Wijk bij Duurstede";0;1;1;2;4;6;8;11;17;24;34;41;88
"Winterswijk";0;1;1;4;8;11;14;21;33;40;59;71;100
"Woensdrecht";0;0;1;2;4;7;10;11;18;29;44;60;86
"Woerden";0;1;2;6;9;13;19;25;40;61;90;107;152
"Wormerland";0;0;1;1;2;3;4;5;9;13;24;30;43
"Woudenberg";0;0;1;2;4;5;6;7;11;15;24;30;51
"Zaanstad";1;1;2;7;13;18;23;37;66;98;146;172;264
"Zaltbommel";0;0;1;5;9;11;15;21;37;46;82;110;171
"Zandvoort";0;0;0;1;1;2;2;3;4;4;6;7;11
"Zeewolde";1;3;5;9;16;24;33;42;64;88;125;143;181
"Zeist";0;0;1;3;5;7;9;14;22;32;50;65;101
"Zevenaar";0;1;1;4;7;10;13;18;33;47;83;114;167
"Zoetermeer";1;2;3;5;7;11;16;26;49;65;92;120;184
"Zoeterwoude";0;0;0;0;1;2;3;7;13;15;28;41;56
"Zuidplas";1;1;2;3;6;9;14;19;31;42;95;128;173
"Zundert";0;0;1;3;5;8;11;14;22;33;49;65;89
"Zutphen";0;1;1;3;6;9;13;17;30;42;83;135;180
"Zwartewaterland";0;0;1;3;4;7;11;17;35;49;69;81;107
"Zwijndrecht";0;0;1;2;4;6;8;10;16;21;35;46;78
"Zwolle";1;2;5;12;24;44;71;97;139;171;310;458;603
