"Gemeenten";"Gemiddeld aardgasverbruik appartement|2017";"Gemiddeld aardgasverbruik appartement|2018";"Gemiddeld aardgasverbruik appartement|2019";"Gemiddeld aardgasverbruik appartement|2020";"Gemiddeld aardgasverbruik appartement|2021";"Gemiddeld aardgasverbruik tussenwoning|2017";"Gemiddeld aardgasverbruik tussenwoning|2018";"Gemiddeld aardgasverbruik tussenwoning|2019";"Gemiddeld aardgasverbruik tussenwoning|2020";"Gemiddeld aardgasverbruik tussenwoning|2021";"Gemiddeld aardgasverbruik hoekwoning|2017";"Gemiddeld aardgasverbruik hoekwoning|2018";"Gemiddeld aardgasverbruik hoekwoning|2019";"Gemiddeld aardgasverbruik hoekwoning|2020";"Gemiddeld aardgasverbruik hoekwoning|2021";"Gemiddeld aardgasverbruik vrijstaande woning|2017";"Gemiddeld aardgasverbruik vrijstaande woning|2018";"Gemiddeld aardgasverbruik vrijstaande woning|2019";"Gemiddeld aardgasverbruik vrijstaande woning|2020";"Gemiddeld aardgasverbruik vrijstaande woning|2021";"Gemiddeld aardgasverbruik alle woningen|2017";"Gemiddeld aardgasverbruik alle woningen|2018";"Gemiddeld aardgasverbruik alle woningen|2019";"Gemiddeld aardgasverbruik alle woningen|2020";"Gemiddeld aardgasverbruik alle woningen|2021";"Totaal aardgasverbruik woningen|2017";"Totaal aardgasverbruik woningen|2018";"Totaal aardgasverbruik woningen|2019";"Totaal aardgasverbruik woningen|2020";"Totaal aardgasverbruik woningen|2021"
"Beesel";600;610;620;660;650;1270;1250;1180;1100;1250;1410;1390;1300;1210;1380;2140;2120;1980;1860;2070;1460;1460;1370;1290;1440;8,1;8,1;7,7;7,3;8,2
"Berg en Dal";830;750;810;830;880;1210;1190;1120;1040;1170;1380;1370;1270;1190;1330;2460;2440;2250;2100;2350;1520;1510;1410;1340;1480;22,0;22,0;20,8;19,9;22,1
"Bergeijk";870;930;900;1060;1200;1220;1220;1130;1050;1190;1390;1390;1300;1190;1350;2250;2240;2080;1930;2150;1710;1710;1590;1480;1660;12,5;12,6;11,8;11,1;12,5
"Bergen (L.)";850;870;830;850;970;1180;1170;1120;1040;1180;1280;1270;1210;1150;1280;2140;2120;1990;1910;2110;1600;1620;1520;1450;1630;8,5;8,6;8,2;7,8;8,9
"Bergen (NH.)";920;950;890;900;1020;1370;1390;1280;1190;1370;1570;1580;1450;1370;1560;2610;2640;2400;2200;2500;1670;1680;1540;1430;1630;23,5;23,9;22,0;20,7;23,6
"Bergen op Zoom";760;770;690;680;730;1220;1220;1140;1080;1220;1420;1420;1310;1250;1400;2140;2140;1970;1840;2060;1220;1240;1140;1090;1210;34,4;35,0;32,5;31,8;35,2
"Berkelland";890;880;830;990;1170;1310;1270;1190;1110;1250;1430;1400;1300;1220;1370;2230;2220;2040;1930;2150;1610;1610;1480;1390;1580;29,5;29,4;27,3;25,6;29,0
"Bernheze";760;790;760;790;870;1220;1210;1140;1060;1210;1340;1340;1250;1180;1350;2240;2250;2080;1920;2160;1610;1640;1510;1400;1590;18,3;18,9;17,7;16,7;19,1
"Best";790;790;760;730;800;1330;1330;1250;1160;1270;1540;1540;1450;1320;1450;2400;2380;2220;1980;2210;1430;1440;1350;1250;1370;16,6;16,7;16,0;14,9;16,7
"Beuningen";780;750;710;700;810;1220;1210;1120;1060;1210;1430;1400;1300;1210;1380;2230;2200;2060;1940;2180;1450;1430;1340;1250;1430;14,7;14,9;13,9;13,1;15,1
"Beverwijk";870;880;820;790;910;1190;1210;1120;1070;1200;1500;1510;1390;1330;1510;2360;2360;2170;2000;2310;1180;1200;1110;1060;1200;21,1;21,6;20,2;19,3;22,1
"Bladel";730;750;710;770;870;1230;1240;1150;1080;1220;1380;1380;1280;1190;1350;2120;2120;1980;1880;2080;1510;1530;1420;1340;1510;12,0;12,3;11,5;11,0;12,5
"Blaricum";1030;980;1200;1100;960;1450;1440;1400;1290;1230;1570;1590;1540;1400;1270;3400;3320;3520;2720;2930;2080;2090;2170;1760;1670;9,1;9,6;10,1;8,4;8,1
"Bloemendaal";1110;1130;1070;990;1130;1630;1620;1530;1440;1660;2040;2040;1910;1800;2060;4010;3940;3710;2970;3410;2120;2080;1950;1750;2000;19,4;19,4;18,4;16,5;19,1
"Bodegraven-Reeuwijk";830;810;770;760;860;1250;1250;1170;1090;1210;1500;1490;1380;1310;1450;2300;2330;2140;1950;2190;1440;1420;1320;1230;1380;19,1;19,1;17,8;16,8;19,0
"Boekel";800;800;680;850;890;1230;1220;1150;1060;1030;1350;1320;1260;1160;1180;2110;2140;1990;1840;1990;1650;1670;1550;1460;1550;6,2;6,4;6,1;5,8;6,4
"Borger-Odoorn";1040;970;930;930;1020;1450;1430;1340;1260;1350;1600;1580;1460;1380;1490;2190;2190;2020;1940;2170;1860;1880;1740;1640;1830;20,3;20,5;19,0;17,6;19,3
"Borne";780;780;680;710;840;1230;1230;1080;1040;1260;1440;1430;1240;1220;1450;2130;2150;1880;1840;2160;1430;1440;1260;1240;1470;12,9;13,2;11,7;11,6;14,0
"Borsele";700;710;680;730;850;1060;1080;1010;970;1100;1220;1240;1150;1110;1260;1720;1770;1630;1590;1820;1340;1390;1290;1250;1430;12,2;12,8;11,9;11,6;13,2
