url;house_id;city;house_type;building_type;price;price_m2;room;bedroom;bathroom;living_area;energy_label;zip;address;year_built;house_age;descrip;photo;m3_gasverbruik_per_jaar;kwh_stroomvebruik_per_jaar
https://www.funda.nl/huur/capelle-aan-den-ijssel/appartement-43434177-barbizonlaan-5-g/;43434177;capelle-aan-den-ijssel;appartement;Bestaande bouw;1110;17.3;2;1;1;64;na;2908;Barbizonlaan 5 G;2024;0;"Het appartementencomplex Barbizon  is  te vinden  langs de  A20, strategisch gelegen nabij  de  snelweg voor optimale bereikbaarheid. Het  complex  maakt onderdeel  uit van een  gebiedsontwikkeling waarbij  een  bedrijventerrein wordt verbouwd  naar  woongebied.  Dit voorheen bestaande kantoorpand wordt omgetoverd naar een modern woningcomplex bestaand uit 54 appartementen.   Het complex zal beschikken over een afgesloten parkeerterrein met overdekte fietsenstalling. De appartementen zijn voorzien van een complete keuken en eigentijdse badkamer. Tevens zijn de appartementen voorzien van stadsverwarming met vloerverwarming.    De 2-kamer huurappartementen bieden: •	Een woonoppervlakte van circa 56-73 m2; •	1 slaapkamer; •	Een moderne keuken met inbouwapparatuur waaronder een vaatwasser, combimagnetron, inductiekookplaat          en een koel-vriescombinatie; •	Een badkamer en toilet met eigentijds sanitair en fraai tegelwerk; •	Gezamenlijke (overdekte) fietsenberging; •	Een eigen parkeerplaats op een afgesloten terrein; •       Een gezamenlijk dakterras;  Enkele belangrijke punten om te onthouden: •	Verwachte oplevering van de appartementen is juni 2024; •	De maandelijkse servicekosten bedragen € 90,-; •	De appartementen zijn volledig gasloos en dragen zo bij aan een duurzame toekomst; •	Het complex voorzien van zonnepanelen waarvan de kosten tegemoet komen in de servicekosten. •       Het is niet mogelijk de woning te bezichtigen gezien het een nieuwbouwproject betreft. De bouw is nog in volle          gang dus het is niet veilig om de woningen in te gaan. Je huurt dus, zoals veelal bij nieuwbouw, van plattegrond          en impressie.  Mis deze unieke kans niet en word deel van dit prachtige nieuwbouwproject. Meld je aan via Funda.nl. vul het contactformulier met de makelaar in. U ontvangt dan met circa 1 uur een mail met instructie voor het invullen van een digitaal inschrijfformulier en een QR code om uw gegevens te delen via de Datakeeper app.  Algemene huurvoorwaarden Uiteraard willen wij u als woningzoekende optimaal van dienst zijn. Om in aanmerking te komen voor één van onze huurwoningen, dient u aan een aantal voorwaarden te voldoen. • Eénverdiener: 3,5 x bruto maandhuur als inkomenseis (incl. vaste toeslagen en vakantiegeld); • Tweeverdieners: het tweede bruto salaris telt voor 100% mee;  • Waarborgsom: één maand kale huur; • Bij een jaarcontract geldt dezelfde inkomenseis. Er is een verhoogde borg van 2 maanden in plaats van één;  • ZZP’ers: dezelfde inkomenseis met een verhoogde waarborgsom van 2 maanden in plaats van één;  • Bij een minimum salaris van 75% van de inkomenseis is een garantstelling van derden vereist (het maximale bedrag in de borgstellingsovereenkomst is één keer de jaarhuur); • Huisdieren alleen na toestemming beheerder (na toestemming zal er een verhoogde borg van 2 maanden in plaats van één gelden);  • Overwaarde huidige woning en spaargelden kunnen slechts in zeer uitzonderlijke gevallen en geheel naar oordeel van beheerder worden meegenomen. Bij zelfstandige ondernemers  • Een ingevulde accountantsverklaring of soortgelijk document voor ondernemers; • Een ingevulde inkomensverklaring (eerder het IB60 formulier); • Recente jaarcijfers; • U dient minimaal jaarstukken van de laatste drie afgeronde jaren te laten zien. Indien er geen stukken van drie afgeronde jaren beschikbaar zijn, vindt er een extra toetsing naar oordeel van beheerder plaats; • Recent gewaarmerkt uittreksel Kamer van Koophandel voor ondernemers (max. drie maanden oud)  Na uw reactie op de woning ontvangt u van ons een email om een eigen digitaal dossier (IDD) aan te maken en uw basisgegevens in te vullen. Ook ontvangt u een link naar Datakeeper om uw inkomensgegevens te delen. Alleen geverifieerde inkomens via Datakeeper worden meegenomen in de toewijzing.  DATAKEEPER EN PROCES Om op een veilige en betrouwbare manier in aanmerking te kunnen komen voor één van onze huurwoningen vragen we u uw gegevens te verifiëren via de Datakeeper app. Datakeeper is een door de Rabobank ondersteunde applicatie op uw telefoon om op een veilige en snelle gebruiksvriendelijke manier uw inkomens- en persoonsgegevens met ons te delen. Via deze pagina willen we u graag informeren over het gebruik van Datakeeper. Wij adviseren u deze pagina zorgvuldig door te lezen en het stappenplan te doorlopen om uw inschrijving compleet te maken.  Met Datakeeper kunnen we uw privacy beter waarborgen en bent u zelf in controle over de verstuurde gegevens. Niemand anders heeft inzicht in de gegevens die op uw telefoon staan opgeslagen. U bepaalt daarmee zelf met wie en wanneer u uw gegevens deelt en u ziet precies welke gegevens worden verstuurd. Het compleet maken van uw inschrijving via Datakeeper is wel een voorwaarde om u in te kunnen schrijven voor één van onze huurwoningen. Inschrijvingen die niet compleet zijn doordat inkomens- en persoonsgegevens via Datakeeper ontbreken worden niet in behandeling genomen.    Voor nu vragen we u alvast te controleren of u beschikt over uw inloggegevens van DigiD. Het is niet mogelijk om in te loggen met de DigiD app. U  moet dus in het bezit zijn van een gebruikersnaam en wachtwoord. Kijk op  om te controleren of de sms-verificatie aanstaat. Op deze site van DigiD kunt u met de grote oranje button inloggen en het verifiëren per sms aanzetten.  Wilt u meer weten over Datakeeper? Ga dan naar Datakeeper.nl voor meer informatie of neem contact met ons op via    **Deze informatie is met de grootst mogelijke zorg samengesteld. Toch kunnen wij niet altijd voorkomen dat de informatie enigszins afwijkt van hetgeen je in of rond de woning ziet of hebt gezien. Dit kan met name gelden voor de brochure tekst, de plattegronden en maatvoeringen. Hieraan kunnen dan ook geen rechten worden ontleend.**";https://cloud.funda.nl/valentina_media/188/520/833_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/188/520/833_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/188/520/833_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/188/520/833_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/188/520/833_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/188/520/833_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/188/520/806_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/188/520/806_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/188/520/806_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/188/520/806_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/188/520/806_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/188/520/806_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/188/520/843_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/188/520/843_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/188/520/843_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/188/520/843_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/188/520/843_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/188/520/843_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/188/520/830_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/188/520/830_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/188/520/830_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/188/520/830_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/188/520/830_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/188/520/830_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/188/520/831_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/188/520/831_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/188/520/831_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/188/520/831_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/188/520/831_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/188/520/831_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/188/520/832_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/188/520/832_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/188/520/832_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/188/520/832_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/188/520/832_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/188/520/832_2160x1440.jpg 2160w;871;
https://www.funda.nl/huur/capelle-aan-den-ijssel/appartement-43482742-roer-416/;43482742;capelle-aan-den-ijssel;appartement;Bestaande bouw;1265;16.2;3;2;1;78;na;2908;Roer 416;2024;0;"Langs de A20  staat  het moderne  nieuwbouw appartementencomplex  ROER, strategisch gelegen nabij  de  snelweg voor optimale bereikbaarheid. Dit  complex  herbergt binnenkort  25 huurappartementen verdeeld  over  vier verdiepingen, allen gebouwd  volgens de  hoogste duurzaamheidsstandaarden en zonder gasaansluitingen. Standaard zijn deze appartementen voorzien van een complete keuken en eigentijdse badkamer.  De 3-kamer huurappartementen bieden: •	Een woonoppervlakte van circa 78 m2. •	2 slaapkamers. •	Een moderne keuken met inbouwapparatuur waaronder een vaatwasser, combimagnetron,          inductiekookplaat, en koel-vriescombinatie. •	Een badkamer en toilet met eigentijds sanitair en fraai tegelwerk. •	Een ruim balkon/terras. •	Een gezamenlijke fietsenberging •	Een eigen parkeerplaats.  Enkele belangrijke punten om te onthouden: •	Verwachte oplevering van de appartementen is april/mei 2024. •	De maandelijkse servicekosten bedragen €75,-. •	De appartementen zijn volledig gasloos en dragen zo bij aan een duurzame toekomst.  Mis deze unieke kans niet en word deel van dit prachtige nieuwbouwproject. Meld je aan via onze website of Funda.nl. We kijken ernaar uit om je te verwelkomen in de schitterende nieuwe appartementen aan de Roer!  Algemene huurvoorwaarden Uiteraard willen wij u als woningzoekende optimaal van dienst zijn. Om in aanmerking te komen voor één van onze huurwoningen, dient u aan een aantal voorwaarden te voldoen. • Eénverdiener: 3,5 x bruto maandhuur als inkomenseis (incl. vaste toeslagen en vakantiegeld); • Tweeverdieners: het tweede bruto salaris telt voor 100% mee;  • Waarborgsom: één maand kale huur; • Bij een jaarcontract geldt dezelfde inkomenseis. Er is een verhoogde borg van 2 maanden in plaats van één;  • ZZP’ers: dezelfde inkomenseis met een verhoogde waarborgsom van 2 maanden in plaats van één;  • Bij een minimum salaris van 75% van de inkomenseis is een garantstelling van derden vereist (het maximale bedrag in de borgstellingsovereenkomst is één keer de jaarhuur); • Huisdieren alleen na toestemming beheerder (na toestemming zal er een verhoogde borg van 2 maanden in plaats van één gelden);  • Overwaarde huidige woning en spaargelden kunnen slechts in zeer uitzonderlijke gevallen en geheel naar oordeel van beheerder worden meegenomen. Bij zelfstandige ondernemers  • Een ingevulde accountantsverklaring of soortgelijk document voor ondernemers; • Een ingevulde inkomensverklaring (eerder het IB60 formulier); • Recente jaarcijfers; • U dient minimaal jaarstukken van de laatste drie afgeronde jaren te laten zien. Indien er geen stukken van drie afgeronde jaren beschikbaar zijn, vindt er een extra toetsing naar oordeel van beheerder plaats; • Recent gewaarmerkt uittreksel Kamer van Koophandel voor ondernemers (max. drie maanden oud)  Na uw reactie op de woning ontvangt u van ons een email om een eigen digitaal dossier (IDD) aan te maken en uw basisgegevens in te vullen. Ook ontvangt u een link naar Datakeeper om uw inkomensgegevens te delen. Alleen geverifieerde inkomens via Datakeeper worden meegenomen in de toewijzing.  DATAKEEPER EN PROCES Om op een veilige en betrouwbare manier in aanmerking te kunnen komen voor één van onze huurwoningen vragen we u uw gegevens te verifiëren via de Datakeeper app. Datakeeper is een door de Rabobank ondersteunde applicatie op uw telefoon om op een veilige en snelle gebruiksvriendelijke manier uw inkomens- en persoonsgegevens met ons te delen. Via deze pagina willen we u graag informeren over het gebruik van Datakeeper. Wij adviseren u deze pagina zorgvuldig door te lezen en het stappenplan te doorlopen om uw inschrijving compleet te maken.  Met Datakeeper kunnen we uw privacy beter waarborgen en bent u zelf in controle over de verstuurde gegevens. Niemand anders heeft inzicht in de gegevens die op uw telefoon staan opgeslagen. U bepaalt daarmee zelf met wie en wanneer u uw gegevens deelt en u ziet precies welke gegevens worden verstuurd. Het compleet maken van uw inschrijving via Datakeeper is wel een voorwaarde om u in te kunnen schrijven voor één van onze huurwoningen. Inschrijvingen die niet compleet zijn doordat inkomens- en persoonsgegevens via Datakeeper ontbreken worden niet in behandeling genomen.     Voor nu vragen we u alvast te controleren of u beschikt over uw inloggegevens van DigiD. Het is niet mogelijk om in te loggen met de DigiD app. U  moet dus in het bezit zijn van een gebruikersnaam en wachtwoord. Kijk op  om te controleren of de sms-verificatie aanstaat. Op deze site van DigiD kunt u met de grote oranje button inloggen en het verifiëren per sms aanzetten.  Wilt u meer weten over Datakeeper? Ga dan naar Datakeeper.nl voor meer informatie of neem contact met ons op via    **Deze informatie is met de grootst mogelijke zorg samengesteld. Toch kunnen wij niet altijd voorkomen dat de informatie enigszins afwijkt van hetgeen je in of rond de woning ziet of hebt gezien. Dit kan met name gelden voor de brochure tekst, de plattegronden en maatvoeringen. Hieraan kunnen dan ook geen rechten worden ontleend.**";https://cloud.funda.nl/valentina_media/186/369/363_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/186/369/363_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/186/369/363_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/186/369/363_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/186/369/363_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/186/369/363_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/186/369/359_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/186/369/359_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/186/369/359_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/186/369/359_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/186/369/359_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/186/369/359_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/186/369/360_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/186/369/360_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/186/369/360_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/186/369/360_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/186/369/360_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/186/369/360_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/186/369/361_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/186/369/361_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/186/369/361_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/186/369/361_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/186/369/361_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/186/369/361_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/186/369/362_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/186/369/362_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/186/369/362_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/186/369/362_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/186/369/362_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/186/369/362_2160x1440.jpg 2160w;837;
https://www.funda.nl/huur/capelle-aan-den-ijssel/appartement-43434162-barbizonlaan-5-f/;43434162;capelle-aan-den-ijssel;appartement;Bestaande bouw;1110;17.3;2;1;1;64;na;2908;Barbizonlaan 5 F;2024;0;"Het appartementencomplex Barbizon  is  te vinden  langs de  A20, strategisch gelegen nabij  de  snelweg voor optimale bereikbaarheid. Het  complex  maakt onderdeel  uit van een  gebiedsontwikkeling  waarbij een bedrijventerrein wordt  verbouwd naar  woongebied. Dit voorheen bestaande kantoorpand wordt omgetoverd naar een modern woningcomplex bestaand uit 54 appartementen.   Het complex zal beschikken over een afgesloten parkeerterrein met overdekte fietsenstalling. De appartementen zijn voorzien van een complete keuken en eigentijdse badkamer. Tevens zijn de appartementen voorzien van stadsverwarming met vloerverwarming.    De 2-kamer huurappartementen bieden: •	Een woonoppervlakte van circa 56-73 m2; •	1 slaapkamer; •	Een moderne keuken met inbouwapparatuur waaronder een vaatwasser, combimagnetron, inductiekookplaat          en een koel-vriescombinatie; •	Een badkamer en toilet met eigentijds sanitair en fraai tegelwerk; •	Gezamenlijke (overdekte) fietsenberging; •	Een eigen parkeerplaats op een afgesloten terrein; •       Een gezamenlijk dakterras;  Enkele belangrijke punten om te onthouden: •	Verwachte oplevering van de appartementen is juni 2024; •	De maandelijkse servicekosten bedragen € 90,-; •	De appartementen zijn volledig gasloos en dragen zo bij aan een duurzame toekomst; •	Het complex voorzien van zonnepanelen waarvan de kosten tegemoet komen in de servicekosten. •       Het is niet mogelijk de woning te bezichtigen gezien het een nieuwbouwproject betreft. De bouw is nog in volle          gang dus het is niet veilig om de woningen in te gaan. Je huurt dus, zoals veelal bij nieuwbouw, van plattegrond          en impressie.  Mis deze unieke kans niet en word deel van dit prachtige nieuwbouwproject. Meld je aan via Funda.nl. vul het contactformulier met de makelaar in. U ontvangt dan met circa 1 uur een mail met instructie voor het invullen van een digitaal inschrijfformulier en een QR code om uw gegevens te delen via de Datakeeper app.  Algemene huurvoorwaarden Uiteraard willen wij u als woningzoekende optimaal van dienst zijn. Om in aanmerking te komen voor één van onze huurwoningen, dient u aan een aantal voorwaarden te voldoen. • Eénverdiener: 3,5 x bruto maandhuur als inkomenseis (incl. vaste toeslagen en vakantiegeld); • Tweeverdieners: het tweede bruto salaris telt voor 100% mee;  • Waarborgsom: één maand kale huur; • Bij een jaarcontract geldt dezelfde inkomenseis. Er is een verhoogde borg van 2 maanden in plaats van één;  • ZZP’ers: dezelfde inkomenseis met een verhoogde waarborgsom van 2 maanden in plaats van één;  • Bij een minimum salaris van 75% van de inkomenseis is een garantstelling van derden vereist (het maximale bedrag in de borgstellingsovereenkomst is één keer de jaarhuur); • Huisdieren alleen na toestemming beheerder (na toestemming zal er een verhoogde borg van 2 maanden in plaats van één gelden);  • Overwaarde huidige woning en spaargelden kunnen slechts in zeer uitzonderlijke gevallen en geheel naar oordeel van beheerder worden meegenomen. Bij zelfstandige ondernemers  • Een ingevulde accountantsverklaring of soortgelijk document voor ondernemers; • Een ingevulde inkomensverklaring (eerder het IB60 formulier); • Recente jaarcijfers; • U dient minimaal jaarstukken van de laatste drie afgeronde jaren te laten zien. Indien er geen stukken van drie afgeronde jaren beschikbaar zijn, vindt er een extra toetsing naar oordeel van beheerder plaats; • Recent gewaarmerkt uittreksel Kamer van Koophandel voor ondernemers (max. drie maanden oud)  Na uw reactie op de woning ontvangt u van ons een email om een eigen digitaal dossier (IDD) aan te maken en uw basisgegevens in te vullen. Ook ontvangt u een link naar Datakeeper om uw inkomensgegevens te delen. Alleen geverifieerde inkomens via Datakeeper worden meegenomen in de toewijzing.  DATAKEEPER EN PROCES Om op een veilige en betrouwbare manier in aanmerking te kunnen komen voor één van onze huurwoningen vragen we u uw gegevens te verifiëren via de Datakeeper app. Datakeeper is een door de Rabobank ondersteunde applicatie op uw telefoon om op een veilige en snelle gebruiksvriendelijke manier uw inkomens- en persoonsgegevens met ons te delen. Via deze pagina willen we u graag informeren over het gebruik van Datakeeper. Wij adviseren u deze pagina zorgvuldig door te lezen en het stappenplan te doorlopen om uw inschrijving compleet te maken.  Met Datakeeper kunnen we uw privacy beter waarborgen en bent u zelf in controle over de verstuurde gegevens. Niemand anders heeft inzicht in de gegevens die op uw telefoon staan opgeslagen. U bepaalt daarmee zelf met wie en wanneer u uw gegevens deelt en u ziet precies welke gegevens worden verstuurd. Het compleet maken van uw inschrijving via Datakeeper is wel een voorwaarde om u in te kunnen schrijven voor één van onze huurwoningen. Inschrijvingen die niet compleet zijn doordat inkomens- en persoonsgegevens via Datakeeper ontbreken worden niet in behandeling genomen.    Voor nu vragen we u alvast te controleren of u beschikt over uw inloggegevens van DigiD. Het is niet mogelijk om in te loggen met de DigiD app. U  moet dus in het bezit zijn van een gebruikersnaam en wachtwoord. Kijk op  om te controleren of de sms-verificatie aanstaat. Op deze site van DigiD kunt u met de grote oranje button inloggen en het verifiëren per sms aanzetten.  Wilt u meer weten over Datakeeper? Ga dan naar Datakeeper.nl voor meer informatie of neem contact met ons op via    **Deze informatie is met de grootst mogelijke zorg samengesteld. Toch kunnen wij niet altijd voorkomen dat de informatie enigszins afwijkt van hetgeen je in of rond de woning ziet of hebt gezien. Dit kan met name gelden voor de brochure tekst, de plattegronden en maatvoeringen. Hieraan kunnen dan ook geen rechten worden ontleend.**";https://cloud.funda.nl/valentina_media/188/520/803_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/188/520/803_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/188/520/803_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/188/520/803_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/188/520/803_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/188/520/803_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/188/520/790_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/188/520/790_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/188/520/790_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/188/520/790_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/188/520/790_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/188/520/790_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/188/520/791_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/188/520/791_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/188/520/791_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/188/520/791_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/188/520/791_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/188/520/791_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/188/520/792_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/188/520/792_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/188/520/792_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/188/520/792_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/188/520/792_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/188/520/792_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/188/520/794_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/188/520/794_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/188/520/794_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/188/520/794_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/188/520/794_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/188/520/794_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/188/520/799_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/188/520/799_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/188/520/799_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/188/520/799_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/188/520/799_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/188/520/799_2160x1440.jpg 2160w;848;
