url;house_id;city;house_type;building_type;price;price_m2;room;bedroom;bathroom;living_area;energy_label;zip;address;year_built;house_age;descrip;photo;m3_gasverbruik_per_jaar;kwh_stroomvebruik_per_jaar
https://www.funda.nl/huur/nieuwegein/appartement-43578523-weverstede-187-0-ong/;43578523;nieuwegein;appartement;Nieuwbouw;1548;18.7;4;3;1;83;>A+;3431;Weverstede 187;2024;0;"The New Citizen  nu  in verhuur!   Let  op: Vanwege de grote  belangstelling  verzoeken we je vriendelijk om eerst alle informatie  en de FAQ  op de project  website door  te nemen!  Mocht  er dan toch nog iets niet duidelijk zijn dan kan je contact opnemen met ons kantoor.  Inschrijven kan alleen via de project website middels een volledig ingevuld dossier waarbij alle benodigde stukken geüpload dienen te zijn.  Inschrijven kan uiterlijk tot 26 mei 23:59 uur in!  Het moment is daar: de verhuur van The New Citizen is gestart! Je kunt je vanaf nu officieel inschrijven voor één van de 128 huurappartementen.  HIGHLIGHTS WONING TYPE M  - 4 kamer appartement; - Woonoppervlakte circa 84 m2; - Inclusief luxe keuken, sanitair en tegelwerk; - Gelegen tussen de zesde en twintigste verdieping; - Centraal gelegen in City Nieuwegein en in Nederland;  DUURZAAMHEID.  The New Citizen is onderdeel van City Nieuwegein. Hier ontwikkelt gemeente Nieuwegein samen met partners in co-creatie een toekomstbestendige, duurzame, groene en gezonde binnenstad. The New Citizen is hier ook een belangrijk onderdeel van. Het complex voldoet aan alle moderne eisen op het gebied van comfort en duurzaamheid. Zo worden de energiezuinige woningen standaard gasloos opgeleverd, door gebruik te maken van een bodemwarmtepomp. Daarmee blijven de woningen in de zomer koel en hebben in de winter minder energie nodig om te verwarmen. Door de toepassing van zonnepanelen wekt het gebouw zelf de nodige energie op wat resulteert in een veel lager energieverbruik. Een grijswatersysteem zorgt voor een meer verantwoord gebruik van schoon water. UPDATE VANAF DE BOUWPLAATS. Momenteel is de bouw van The New Citizen in volle gang. Benieuwd naar de laatste status? Op de bouwplaats staat een camera die de complete bouw vastlegt. Bekijk de timelapse video en de foto’s op de projectwebsite.  Tijdlijn:  -	Start Bouw: 3e kwartaal 2022; -	Start Verhuur: Begin 2024; -       Sluitingsdatum voor inschrijving is 26 mei 2024 23:59 uur; -	Verwachte Oplevering: 2e kwartaal 2024.  DICHTBIJ ALLES.  The New Citizen maakt deel uit van City Nieuwegein dat getransformeerd wordt naar een nieuwe veelzijdige plek. Alles wat je nodig hebt, is dichtbij. Van supermarkt tot tramstation en uitvalswegen. Voor vers gebrande koffie hoef je zelfs de deur niet uit. Zo zijn ‘New Citizens’ van alle gemakken voorzien en houden ze genoeg tijd over voor leuke dingen. •	Cityplaza: voor je dagelijkse boodschappen, slimme services en een uitgebreid winkelaanbod; •	Met 20 autominuten (op je werk) in Utrecht; •	Met 30 tramminuten op Utrecht Centraal. Vandaaruit is heel Nederland dichtbij; •	Lopend naar theatervoorstellingen, liveoptredens en festivals in ‘De KOM’; •	Koffie (to go) bij je favoriete barista café; •	Fietsen. Varen. Wandelen. Picknicken of nog anders relaxen in Stadspark; •	De natuur in bij Park Oudegein.  HIGHLIGHTS.  •	128 huurappartementen (verdeeld over 4 woningtypen); •	Vrije sector huur; •	Woonoppervlakten van 56 – 93 m²; •	Ondergrondse parking; •	Commerciële ruimten in de plint; •	Samenwerking met VOID interieurarchitectuur; •	Centraal gelegen in City Nieuwegein en in Nederland; •	Bijna alle voorzieningen om de hoek;  Op de hoogte blijven van alle ontwikkelingen binnen het project? Schrijf je dan direct in op de projectwebsite.";https://cloud.funda.nl/valentina_media/189/496/162_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/496/162_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/496/162_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/496/162_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/496/162_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/496/162_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/496/164_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/496/164_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/496/164_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/496/164_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/496/164_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/496/164_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/496/163_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/496/163_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/496/163_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/496/163_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/496/163_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/496/163_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/496/165_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/496/165_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/496/165_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/496/165_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/496/165_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/496/165_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/496/166_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/496/166_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/496/166_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/496/166_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/496/166_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/496/166_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/496/168_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/496/168_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/496/168_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/496/168_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/496/168_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/496/168_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/496/167_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/496/167_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/496/167_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/496/167_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/496/167_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/496/167_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/496/169_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/496/169_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/496/169_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/496/169_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/496/169_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/496/169_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/496/170_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/496/170_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/496/170_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/496/170_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/496/170_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/496/170_2160x1440.jpg 2160w;1425;3735.0
https://www.funda.nl/huur/nieuwegein/appartement-43578585-weverstede-205-0-ong/;43578585;nieuwegein;appartement;Nieuwbouw;1476;18.7;3;2;1;79;>A+;3431;Weverstede 205;2024;0;"The New Citizen  nu  in verhuur!   Let  op: Vanwege de grote  belangstelling  verzoeken we je vriendelijk om eerst alle  informatie  en de FAQ  op  de  project  website  door  te  nemen! Mocht  er dan toch nog iets niet duidelijk zijn dan kan je contact opnemen met ons kantoor.  Inschrijven kan alleen via de project website middels een volledig ingevuld dossier waarbij alle benodigde stukken geüpload dienen te zijn.  Inschrijven kan uiterlijk tot 26 mei 23:59 uur in!  Het moment is daar: de verhuur van The New Citizen is gestart! Je kunt je vanaf nu officieel inschrijven voor één van de 128 huurappartementen.  HIGHLIGHTS WONING TYPE O  - 3 kamer appartement; - Woonoppervlakte circa 80 m2; - Inclusief luxe keuken, sanitair en tegelwerk; - Gelegen tussen de negende en twintigste verdieping; - Centraal gelegen in City Nieuwegein en in Nederland;  DUURZAAMHEID.  The New Citizen is onderdeel van City Nieuwegein. Hier ontwikkelt gemeente Nieuwegein samen met partners in co-creatie een toekomstbestendige, duurzame, groene en gezonde binnenstad. The New Citizen is hier ook een belangrijk onderdeel van. Het complex voldoet aan alle moderne eisen op het gebied van comfort en duurzaamheid. Zo worden de energiezuinige woningen standaard gasloos opgeleverd, door gebruik te maken van een bodemwarmtepomp. Daarmee blijven de woningen in de zomer koel en hebben in de winter minder energie nodig om te verwarmen. Door de toepassing van zonnepanelen wekt het gebouw zelf de nodige energie op wat resulteert in een veel lager energieverbruik. Een grijswatersysteem zorgt voor een meer verantwoord gebruik van schoon water. UPDATE VANAF DE BOUWPLAATS. Momenteel is de bouw van The New Citizen in volle gang. Benieuwd naar de laatste status? Op de bouwplaats staat een camera die de complete bouw vastlegt. Bekijk de timelapse video en de foto’s op de projectwebsite.  Tijdlijn:  -	Start Bouw: 3e kwartaal 2022; -	Start Verhuur: Begin 2024; -       Sluitingsdatum voor inschrijving is 26 mei 2024 23:59 uur; -	Verwachte Oplevering: 2e kwartaal 2024.  DICHTBIJ ALLES.  The New Citizen maakt deel uit van City Nieuwegein dat getransformeerd wordt naar een nieuwe veelzijdige plek. Alles wat je nodig hebt, is dichtbij. Van supermarkt tot tramstation en uitvalswegen. Voor vers gebrande koffie hoef je zelfs de deur niet uit. Zo zijn ‘New Citizens’ van alle gemakken voorzien en houden ze genoeg tijd over voor leuke dingen. •	Cityplaza: voor je dagelijkse boodschappen, slimme services en een uitgebreid winkelaanbod; •	Met 20 autominuten (op je werk) in Utrecht; •	Met 30 tramminuten op Utrecht Centraal. Vandaaruit is heel Nederland dichtbij; •	Lopend naar theatervoorstellingen, liveoptredens en festivals in ‘De KOM’; •	Koffie (to go) bij je favoriete barista café; •	Fietsen. Varen. Wandelen. Picknicken of nog anders relaxen in Stadspark; •	De natuur in bij Park Oudegein.  HIGHLIGHTS.  •	128 huurappartementen (verdeeld over 4 woningtypen); •	Vrije sector huur; •	Woonoppervlakten van 56 – 93 m²; •	Ondergrondse parking; •	Commerciële ruimten in de plint; •	Samenwerking met VOID interieurarchitectuur; •	Centraal gelegen in City Nieuwegein en in Nederland; •	Bijna alle voorzieningen om de hoek;  Op de hoogte blijven van alle ontwikkelingen binnen het project? Schrijf je dan direct in op de projectwebsite.";https://cloud.funda.nl/valentina_media/189/495/561_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/495/561_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/495/561_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/495/561_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/495/561_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/495/561_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/495/575_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/495/575_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/495/575_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/495/575_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/495/575_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/495/575_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/495/530_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/495/530_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/495/530_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/495/530_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/495/530_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/495/530_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/495/567_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/495/567_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/495/567_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/495/567_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/495/567_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/495/567_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/495/562_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/495/562_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/495/562_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/495/562_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/495/562_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/495/562_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/495/570_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/495/570_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/495/570_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/495/570_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/495/570_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/495/570_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/495/569_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/495/569_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/495/569_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/495/569_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/495/569_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/495/569_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/495/545_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/495/545_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/495/545_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/495/545_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/495/545_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/495/545_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/495/547_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/495/547_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/495/547_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/495/547_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/495/547_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/495/547_2160x1440.jpg 2160w;891;5451.0
https://www.funda.nl/huur/nieuwegein/appartement-43578453-weverstede-57-0-ong/;43578453;nieuwegein;appartement;Nieuwbouw;1294;20.5;3;2;1;63;>A+;3431;Weverstede 57;2024;0;"The New Citizen  nu  in verhuur!   Let  op: Vanwege de grote  belangstelling  verzoeken we je vriendelijk om eerst alle informatie  en de FAQ  op de project  website door  te nemen!  Mocht  er dan toch nog iets niet duidelijk zijn dan kan je contact opnemen met ons kantoor.  Inschrijven kan alleen via de project website middels een volledig ingevuld dossier waarbij alle benodigde stukken geüpload dienen te zijn.  Inschrijven kan uiterlijk tot 26 mei 23:59 uur in!  Het moment is daar: de verhuur van The New Citizen is gestart! Je kunt je vanaf nu officieel inschrijven voor één van de 128 huurappartementen.  HIGHLIGHTS WONING TYPE J  - 3 kamer appartement; - Woonoppervlakte circa 63  m2; - Inclusief luxe keuken, sanitair en tegelwerk; - Gelegen tussen de eerste en vijfde verdieping; - Centraal gelegen in City Nieuwegein en in Nederland;  DUURZAAMHEID.  The New Citizen is onderdeel van City Nieuwegein. Hier ontwikkelt gemeente Nieuwegein samen met partners in co-creatie een toekomstbestendige, duurzame, groene en gezonde binnenstad. The New Citizen is hier ook een belangrijk onderdeel van. Het complex voldoet aan alle moderne eisen op het gebied van comfort en duurzaamheid. Zo worden de energiezuinige woningen standaard gasloos opgeleverd, door gebruik te maken van een bodemwarmtepomp. Daarmee blijven de woningen in de zomer koel en hebben in de winter minder energie nodig om te verwarmen. Door de toepassing van zonnepanelen wekt het gebouw zelf de nodige energie op wat resulteert in een veel lager energieverbruik. Een grijswatersysteem zorgt voor een meer verantwoord gebruik van schoon water. UPDATE VANAF DE BOUWPLAATS. Momenteel is de bouw van The New Citizen in volle gang. Benieuwd naar de laatste status? Op de bouwplaats staat een camera die de complete bouw vastlegt. Bekijk de timelapse video en de foto’s op de projectwebsite.  Tijdlijn:  -	Start Bouw: 3e kwartaal 2022; -	Start Verhuur: Begin 2024; -       Sluitingsdatum voor inschrijving is 26 mei 2024 23:59 uur; -	Verwachte Oplevering: 2e kwartaal 2024.  DICHTBIJ ALLES.  The New Citizen maakt deel uit van City Nieuwegein dat getransformeerd wordt naar een nieuwe veelzijdige plek. Alles wat je nodig hebt, is dichtbij. Van supermarkt tot tramstation en uitvalswegen. Voor vers gebrande koffie hoef je zelfs de deur niet uit. Zo zijn ‘New Citizens’ van alle gemakken voorzien en houden ze genoeg tijd over voor leuke dingen. •	Cityplaza: voor je dagelijkse boodschappen, slimme services en een uitgebreid winkelaanbod; •	Met 20 autominuten (op je werk) in Utrecht; •	Met 30 tramminuten op Utrecht Centraal. Vandaaruit is heel Nederland dichtbij; •	Lopend naar theatervoorstellingen, liveoptredens en festivals in ‘De KOM’; •	Koffie (to go) bij je favoriete barista café; •	Fietsen. Varen. Wandelen. Picknicken of nog anders relaxen in Stadspark; •	De natuur in bij Park Oudegein.  HIGHLIGHTS.  •	128 huurappartementen (verdeeld over 4 woningtypen); •	Vrije sector huur; •	Woonoppervlakten van 56 – 93 m²; •	Ondergrondse parking; •	Commerciële ruimten in de plint; •	Samenwerking met VOID interieurarchitectuur; •	Centraal gelegen in City Nieuwegein en in Nederland; •	Bijna alle voorzieningen om de hoek;  Op de hoogte blijven van alle ontwikkelingen binnen het project? Schrijf je dan direct in op de projectwebsite.";https://cloud.funda.nl/valentina_media/189/494/902_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/494/902_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/494/902_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/494/902_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/494/902_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/494/902_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/494/904_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/494/904_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/494/904_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/494/904_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/494/904_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/494/904_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/494/905_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/494/905_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/494/905_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/494/905_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/494/905_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/494/905_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/494/908_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/494/908_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/494/908_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/494/908_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/494/908_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/494/908_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/494/906_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/494/906_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/494/906_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/494/906_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/494/906_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/494/906_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/494/907_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/494/907_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/494/907_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/494/907_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/494/907_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/494/907_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/494/911_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/494/911_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/494/911_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/494/911_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/494/911_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/494/911_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/494/910_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/494/910_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/494/910_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/494/910_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/494/910_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/494/910_2160x1440.jpg 2160w, https://cloud.funda.nl/valentina_media/189/494/909_1440x960.jpg 1440w, https://cloud.funda.nl/valentina_media/189/494/909_180x120.jpg 180w, https://cloud.funda.nl/valentina_media/189/494/909_360x240.jpg 360w, https://cloud.funda.nl/valentina_media/189/494/909_720x480.jpg 720w, https://cloud.funda.nl/valentina_media/189/494/909_1080x720.jpg 1080w, https://cloud.funda.nl/valentina_media/189/494/909_2160x1440.jpg 2160w;880;1953.0
